Start Timestamp;End Timestamp;Transcript
00:00;00:03;"Last thing I want to do is I want to leave you with another song."
00:03;00:07;"So I already talked about the Zen of Python song, which is super fun."
00:07;00:10;"Over here we have the Pep8 song."
00:10;00:15;"And the Pep8 song is written by Leon Sandoy, who often goes by Lemon."
00:15;00:18;"He's the guy behind Python Discord."
00:18;00:19;"So you can check that out if you like."
00:19;00:23;"But really cool video, musical."
00:23;00:25;"He's a very good musician and singer."
00:25;00:30;"And this takes the ideas of Pep8 and turns them into a nice little melody."
00:30;00:34;"So I'll put this as the closing video for this chapter."
00:34;00:36;"If you don't want to watch that section, that's fine."
00:36;00:38;"Just skip ahead."
00:38;00:39;"There's nothing required here."
00:39;00:41;"But I think you'll enjoy it."
00:41;00:44;"So let's close things out with a little song about Pep8."
00:56;01:01;"You don't need any curly braces."
01:01;01:04;"Just four spaces."
01:04;01:06;"Just four spaces."
01:06;01:11;"Wildcard imports should be avoided."
01:11;01:14;"In most cases."
01:14;01:17;"In most cases."
01:17;01:23;"Try to make sure there's no trailing white space."
01:23;01:26;"It's confusing."
01:26;01:28;"It's confusing."
01:28;01:35;"Trailing commas go behind list items."
01:35;01:37;"Get blamed, titans."
01:37;01:39;"Get blamed, titans."
01:39;01:44;"And commons are important."
01:44;01:47;"As long as they're maintained."
01:47;01:49;"When commons are misleading."
01:49;01:52;"It will drive people insane."
01:52;01:55;"Just try to be empathic."
01:55;01:57;"Just try to be a friend."
01:57;02:00;"It's really not that hard."
02:00;02:06;"Just adhere to Pep8."
02:06;02:11;"Pep8."
02:11;02:19;"Constants should be named all capital letters."
02:19;02:21;"And live forever."
02:21;02:24;"Live forever."
02:25;02:30;"And camel case is not for Python."
02:30;02:32;"Never ever."
02:34;02:41;"And never use a bare exception."
02:41;02:43;"Be specific."
02:45;02:52;"No one likes the horizontal scroll bar."
02:52;02:55;"Keep it succinct."
02:55;02:59;"Keep it succinct."
02:59;03:02;"And commons are important."
03:02;03:04;"As long as they're maintained."
03:04;03:07;"When commons are misleading."
03:07;03:10;"It will drive people insane."
03:10;03:13;"Just try to be empathic."
03:13;03:16;"Just try to be a friend."
03:16;03:18;"It's really not that hard."
03:18;03:20;"Just adhere to..."
03:21;03:23;"Pep8."
03:23;03:29;"Pep8."
03:42;03:44;"Pep8."
