Start Timestamp;End Timestamp;Transcript
00:00;00:02;"Let's talk about random numbers."
00:02;00:04;"Here we have something that would be not Pythonic,"
00:04;00:07;"would be an algorithm brought over from somebody"
00:07;00:09;"who's done C or C# or some other language"
00:09;00:12;"that has this style working."
00:12;00:15;"Hey, I wanna get a random one of these letters"
00:15;00:17;"and we can index into the strings"
00:17;00:20;"by just saying bracket number, so let's do this."
00:20;00:24;"Let's create a random number that is from zero"
00:24;00:26;"to N minus one for the length,"
00:26;00:29;"so zero to len of letters minus one,"
00:29;00:33;"and then we're going to randomly get that number,"
00:33;00:36;"use our random index to get that letter, rather,"
00:36;00:38;"and then we're gonna print it out."
00:38;00:39;"We can run it, does it work?"
00:39;00:43;"C, U, Y, six, F, and so on."
00:43;00:47;"Sure enough, it works, but in Python, there's a better way."
00:47;00:49;"We've got our random over here."
00:49;00:51;"Let's say Pythonic way."
00:51;00:54;"We'll just say print, it's so short,"
00:54;00:55;"we could do it in one line."
00:55;01:00;"Print random.choice of letters."
01:00;01:02;"Here's a collection."
01:02;01:04;"Get me one of them randomly."
01:04;01:10;"Six X, four H, same thing, all right?"
01:10;01:14;"So if you've got random things to get,"
01:14;01:17;"and it's coming from a collection, basically an iterable,"
01:17;01:21;"then random.choice is the way to go."
01:21;01:24;"Way less error prone, it's not gonna crash as often,"
01:24;01:25;"and so on."
