Start Timestamp;End Timestamp;Transcript
00:00;00:02;"Quick review of flat is better than nested."
00:02;00:03;"Look at this code."
00:03;00:07;"It is gnarly and without the editor even helping you align stuff."
00:07;00:09;"Are you sure that you got all these pieces?"
00:09;00:12;"Like is the else down below where it says no DNS?"
00:12;00:13;"Is it lined up right?"
00:13;00:16;"Remember, it's usually not just one line at each one of these."
00:16;00:19;"There's like stuff making it harder to read all over."
00:19;00:21;"This, no."
00:21;00:23;"This is just something I wouldn't want to work on."
00:23;00:28;"Instead, we can use guarding clauses and early returns"
00:28;00:32;"to go through and put all the tests and the messages locally together"
00:32;00:35;"and have zero indentation along the way."
00:35;00:36;"It works for loops."
00:36;00:37;"It works for functions."
00:37;00:39;"It works for functions with loops."
00:39;00:45;"You can even look up this concept of guarding clauses on Wikipedia."
00:45;00:47;"Here, they have an example in Python."
00:47;00:50;"They show how to do it without and how to do it with."
00:50;00:54;"Basically, negate all the if statements, do early returns."
