Start Timestamp;End Timestamp;Transcript
00:00;00:02;"Good news, I've worked with the folks over at JetBrains"
00:02;00:06;"to get you a six-month free trial for PyCharm Professional."
00:06;00:09;"It'll save you around $60 and give you a chance"
00:09;00:11;"to use some of the paid features"
00:11;00:13;"like support for the web frameworks,"
00:13;00:16;"FastAPI, Flask, Django, and others like that,"
00:16;00:18;"the JavaScript frameworks such as React,"
00:18;00:20;"as well as the data science features."
00:20;00:23;"To be clear, the free community edition of PyCharm"
00:23;00:25;"is 100% good for this course,"
00:25;00:28;"but if you're working on projects outside of the course,"
00:28;00:31;"you may find the pro version super useful."
00:31;00:35;"Just use the link jetbrains.com/store/redeem"
00:35;00:37;"and the code PyCharm for DocPython"
00:37;00:39;"with the capitalization you see on the screen"
00:39;00:40;"to redeem the code."
