Start Timestamp;End Timestamp;Transcript
00:00;00:06;"Let's do a quick concept review on testing for none and a meta comment about these little short review videos"
00:06;00:12;"Yes, I know you just saw me do this demo here where we did the accounts and with the database"
00:12;00:15;"So it's not so much for you right now"
00:15;00:18;"Necessarily, although it is a cool quick summary"
00:18;00:23;"The real reason I put these in the course is because these are very short videos"
00:23;00:28;"You can drop back into and pull out the key ideas later without having to go through all the demo code"
00:28;00:31;"If you just want a super quick reminder"
00:31;00:37;"So remember concept videos are reinforcing now, but also really important as a reference material for later"
00:37;00:41;"All right. So for this one testing for none if we're gonna test for none"
00:41;00:49;"It's not if accounts you want to say if accounts is none or is not none if we're going to use a negation"
