Start Timestamp;End Timestamp;Transcript
00:00;00:03;"The first topic I want to cover is what I'm calling truthiness."
00:03;00:08;"Not true and false, but things that behave like true and behave like false."
00:08;00:10;"So truthiness."
00:10;00:12;"And in Python, it's really interesting."
00:12;00:15;"There's a defined set of things that are false."
00:15;00:18;"And if it's not in that list, then it is evaluated as true,"
00:18;00:24;"say for a while loop, for expressions, for if statements, and so on."
00:24;00:26;"So let's talk about what is false."
00:26;00:30;"False, well, obviously false is false, right?"
00:30;00:31;"That's a tautology there."
00:31;00:35;"That's the thing that represents the Boolean value of false in the language."
00:35;00:39;"But other things are also defined to be false."
00:39;00:45;"Empty lists, so a list that has nothing in it, even though it is not none, it is an object,"
00:45;00:48;"it just happens to be empty, that's defined to be false."
00:48;00:54;"Similarly for dictionaries, sets, other types of collections, false."
00:54;00:56;"Strings, strings that are empty are false."
00:56;00:59;"Strings with characters, not so much."
00:59;01:01;"Zero is false."
01:01;01:05;"Zero for floats, false, but be very careful about testing floats."
01:05;01:07;"Those things are always tricky."
01:07;01:11;"None, when you have a pointer, everything in Python is a pointer."
01:11;01:15;"When you have a pointer and it points to nothing, none, it is false."
01:15;01:24;"And finally, if you define your own class, it can define what states that it can be"
01:24;01:27;"in that is false and what states it can be in that represents truth."
01:27;01:31;"That's kind of how lists and dictionaries and those kinds of things do it."
01:31;01:36;"Well, you can do that for your own by defining a dunder bool and a dunder non-zero magic"
01:36;01:38;"method on them."
01:38;01:39;"That's it."
01:39;01:40;"Those are the things that are false."
01:40;01:44;"Everything else, if you put it into an if statement or some kind of expression, like"
01:44;01:46;"a ternary expression, true."
